date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-29,13.21,13.43,13.3,13.1,982915.5,0.09,0.68,13.342,13.306,13.202,1322353.68,1314952.53,1393845.25,0.58
2017-12-28,13.28,13.46,13.21,13.02,1553030.38,-0.08,-0.6,13.386,13.248,13.187,1274350.76,1326656.23,1433946.13,0.92
2017-12-27,13.58,13.78,13.29,13.19,1366566.75,-0.37,-2.71,13.452,13.227,13.195,1260785.39,1271552.99,1425276.4,0.81
2017-12-26,13.26,13.69,13.66,13.19,1123688.5,0.41,3.09,13.446,13.211,13.222,1208721.04,1263821.13,1435152.8,0.66
2017-12-25,13.52,13.86,13.25,13.16,1585567.25,-0.27,-2.0,13.37,13.147,13.224,1463571.94,1325792.86,1467290.0,0.94
2017-12-22,13.5,13.63,13.52,13.45,742900.94,-0.02,-0.15,13.27,13.172,13.258,1307551.39,1393431.41,1491215.9,0.44
2017-12-21,13.18,13.68,13.54,13.16,1485203.5,0.28,2.11,13.11,13.129,13.31,1378961.7,1454272.81,1585580.33,0.88
2017-12-20,13.2,13.31,13.26,13.13,1106245.0,-0.02,-0.15,13.002,13.058,13.35,1282320.6,1423948.25,1632777.26,0.65
2017-12-19,12.79,13.32,13.28,12.74,2397943.0,0.53,4.16,12.976,13.04,13.442,1318921.22,1475308.25,1705976.58,1.42
2017-12-18,12.73,12.91,12.75,12.64,805464.5,0.03,0.24,12.924,13.042,13.501,1188013.77,1407882.08,1710845.82,0.48
2017-12-15,12.9,12.93,12.72,12.67,1099952.5,-0.28,-2.15,13.074,13.097,13.576,1479311.42,1472737.98,1812768.88,0.65
2017-12-14,13.15,13.31,13.0,12.91,1001998.0,-0.13,-0.99,13.148,13.125,13.599,1529583.92,1541236.04,1860978.74,0.59
2017-12-13,13.0,13.2,13.13,12.88,1289248.12,0.11,0.84,13.114,13.163,13.604,1565575.9,1578999.8,1870919.58,0.76
2017-12-12,13.4,13.48,13.02,13.02,1743405.75,-0.48,-3.56,13.104,13.232,13.592,1631695.28,1606484.48,1869609.79,1.03
2017-12-11,13.08,13.57,13.5,12.88,2261952.75,0.41,3.13,13.16,13.3,13.589,1627750.38,1608787.15,1871454.62,1.34
2017-12-08,12.89,13.09,13.09,12.75,1351315.0,0.26,2.03,13.12,13.343,13.559,1466164.53,1589000.4,1886702.29,0.8
2017-12-07,13.05,13.14,12.83,12.75,1181957.88,-0.25,-1.91,13.102,13.49,13.519,1552888.15,1716887.85,1907014.16,0.7
2017-12-06,13.26,13.27,13.08,12.79,1619845.0,-0.22,-1.65,13.212,13.642,13.494,1592423.7,1841606.26,1962680.73,0.96
2017-12-05,13.15,13.49,13.3,13.1,1723681.25,0.0,0.0,13.36,13.844,13.447,1581273.67,1936644.91,2094829.76,1.02
2017-12-04,13.05,13.37,13.3,13.0,1454023.5,0.3,2.31,13.44,13.959,13.378,1589823.92,2013809.56,2132503.86,0.86
2017-12-01,13.4,13.48,13.0,12.96,1784933.12,-0.38,-2.84,13.566,14.054,13.277,1711836.27,2152799.79,2111297.82,1.06
2017-11-30,13.7,13.73,13.38,13.26,1379635.62,-0.44,-3.18,13.878,14.072,13.196,1880887.55,2180721.45,2059218.33,0.82
2017-11-29,13.73,13.93,13.82,13.47,1564094.88,0.12,0.88,14.072,14.044,13.104,2090788.83,2162839.36,2020451.97,0.92
2017-11-28,13.85,13.85,13.7,13.4,1766432.5,-0.23,-1.65,14.328,13.952,12.983,2292016.15,2132735.1,1976878.12,1.04
